1 1.000000
2 0.766386
3 1.000000
4 0.182092
5 0.699902
6 1.000000
7 1.999586
8 0.999999
9 3.000000
10 1.000000
11 0.003875
12 0.003071
13 0.002554
14 0.002191
15 0.001920
16 0.001711
17 0.001544
18 0.001407
19 0.001293
20 0.001196
21 0.001113
22 0.001041
23 0.000978
24 0.000922
25 0.000872
26 0.000828
27 0.000787
28 0.000751
29 0.000718
30 0.000688
31 0.000660
32 0.000634
33 0.000610
34 0.000588
35 0.000568
36 0.000549
37 0.000531
38 0.000515
39 0.000499
40 0.000484
41 0.000470
42 0.000457
43 0.000445
44 0.000433
45 0.000422
46 0.000412
47 0.000402
48 0.000392
49 0.000383
50 0.000374
