1 0.999728
2 1.328114
3 0.996943
4 2.663549
5 0.998935
6 1.010220
7 0.907503
8 1.882789
9 0.986436
10 1.823302
11 0.975175
12 1.743776
13 0.940610
14 1.716696
15 0.899602
16 1.484353
17 0.626567
18 0.393236
19 0.048071
20 0.045087
21 0.045606
22 0.046449
23 0.046885
24 0.046935
25 0.046749
26 0.046440
27 0.046073
28 0.045680
29 0.045280
30 0.044880
31 0.044485
32 0.044095
33 0.043712
34 0.043335
35 0.042966
36 0.042603
37 0.042247
38 0.041898
39 0.041555
40 0.041218
41 0.040888
42 0.040563
43 0.040243
44 0.039929
45 0.039621
46 0.039317
47 0.039019
48 0.038726
49 0.038437
50 0.038154
